city;yr;mo;ET0_MES;1_6;7_13;14_16;17_20;21_24;25_27
Jacupiranga;2015;1;6.542005982348521;5.299024845702302;7.981247298465195;8.046667358288682;5.822385324290184;6.149485623407609;3.532683230468202
Jacupiranga;2015;10;4.737547377487044;3.8374133757645055;5.779807800534193;5.827183274309063;4.216417165963469;4.453294534837821;2.558275583843004
Jacupiranga;2015;11;4.8311867687323184;3.913261282673178;5.894047857853429;5.942359725540752;4.299756224171763;4.541315562608379;2.608840855115452
Jacupiranga;2015;12;5.3207336030118295;4.309794218439582;6.491294995674432;6.5445023317045505;4.735452906680528;5.001489586831119;2.873196145626388
Jacupiranga;2015;2;5.183855945299584;4.198923315692663;6.324304253265492;6.376142812718488;4.61363179131663;4.872824588581609;2.7992822104617754
Jacupiranga;2015;3;4.378385156236982;3.546491976551956;5.341629890609118;5.385413742171488;3.896762789050914;4.115682046862763;2.3643279843679705
Jacupiranga;2015;4;3.4507950053514778;2.795143954334697;4.209969906528803;4.244477856582318;3.071207554762815;3.243747305030389;1.8634293028897981
Jacupiranga;2015;5;1.9291999517956095;1.5626519609544438;2.3536239411906434;2.3729159407086;1.7169879570980926;1.8134479546878728;1.0417679739696293
Jacupiranga;2015;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2015;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2015;8;3.3900647770032033;2.745952469372595;4.135879027943908;4.16977967571394;3.017157651532851;3.1866608903830107;1.8306349795817298
Jacupiranga;2015;9;4.048538014481561;3.279315791730064;4.9392163776675035;4.979701757812319;3.603198832888589;3.8056257336126667;2.1862105278200428
Jacupiranga;2016;1;5.437656113647039;4.4045014520541015;6.633940458649388;6.688317019785858;4.8395139411458645;5.111396746828216;2.9363343013694014
Jacupiranga;2016;2;5.252515645005496;4.254537672454452;6.408069086906705;6.46059424335676;4.674738924054892;4.937364706305166;2.836358448302968
Jacupiranga;2016;3;4.545074650742377;3.6815104671013255;5.5449910739057;5.590441820413123;4.045116439160716;4.272370171697834;2.4543403114008835
Jacupiranga;2016;4;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2016;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2016;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2016;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2016;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2016;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Juquia;2006;10;5.486567161422181;4.444119400751967;6.693611936935061;6.748477608549283;4.883044773665741;5.1573731317368505;2.962746267167978
Juquia;2006;11;6.725883425087236;5.447965574320661;8.205577778606427;8.2728366128573;5.986036248327641;6.322330419582002;3.6319770495471078
Juquia;2006;12;6.473957229297859;5.2439053557312665;7.898227819743388;7.962967392036367;5.761821934075095;6.085519795539987;3.4959369038208443
Juquia;2006;8;3.287629865283803;2.662980190879881;4.01090843564624;4.043784734299078;2.9259905801025847;3.0903720733667748;1.775320127253254
Juquia;2006;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Juquia;2007;1;8.91225283018637;7.21892479245096;10.872948452827371;10.962070981129235;7.931905018865869;8.377517660375187;4.81261652830064
Juquia;2007;10;6.258237326981798;5.069172234855257;7.6350495389177935;7.697631912187612;5.569831221013801;5.88274308736289;3.3794481565701715
Juquia;2007;11;5.442969489658659;4.408805286623514;6.640422777383564;6.694852472280151;4.844242845796207;5.116391320279139;2.9392035244156762
Juquia;2007;12;6.670115708049012;5.4027937235197;8.137541163819796;8.204242320900285;5.936402980163621;6.269908765566071;3.601862482346467
Juquia;2007;2;6.506984027606626;5.2706570623613676;7.938520513680084;8.00359035395615;5.791215784569897;6.1165649859502285;3.5137713749075785
Juquia;2007;3;5.602062102111658;4.537670302710443;6.8345157645762225;6.890536385597339;4.985835270879376;5.265938375984958;3.0251135351402954
Juquia;2007;4;4.032490090827583;3.2663169735703423;4.919637910809651;4.959962811717927;3.588916180836549;3.7905406853779278;2.177544649046895
Juquia;2007;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Juquia;2007;6;0.1722338709037592;0.13950943543204494;0.2101253225025862;0.2118476612116238;0.15328814510434569;0.16189983864953364;0.09300629028802997
Juquia;2007;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Juquia;2007;8;3.9120543558721668;3.1687640282564553;4.772706314164044;4.811826857722765;3.4817283767262284;3.6773310945198365;2.1125093521709704
Juquia;2007;9;5.2899035984831615;4.284821914771361;6.453682390149457;6.5065814261342885;4.708014202650014;4.972509382574172;2.8565479431809075
Juquia;2008;1;5.521459360087157;4.472382081670597;6.736180419306331;6.791395012907203;4.9140988304775695;5.190171798481927;2.981588054447065
Juquia;2008;10;5.518637460836177;4.470096343277304;6.7327377022201365;6.787924076828498;4.911587340144198;5.187519213186007;2.980064228851536
Juquia;2008;11;6.259640537638834;5.070308835487456;7.636761455919378;7.699357861295765;5.571080078498563;5.884062105380504;3.3802058903249708
Juquia;2008;12;7.045304868024719;5.706696943100022;8.595271938990157;8.665724987670403;6.270321332541999;6.622586575943235;3.8044646287333483
Juquia;2008;2;5.770304420293825;4.673946580437999;7.039771392758467;7.097474436961405;5.135570934061504;5.424086155076195;3.1159643869586655
Juquia;2008;3;5.214600546290198;4.223826442495061;6.361812666474041;6.4139586719369435;4.640994486198276;4.901724513512786;2.815884294996707
Juquia;2008;4;3.83621166874807;3.107331451685937;4.680178235872645;4.718540352560126;3.4142283851857824;3.6060389686231855;2.0715543011239577
Juquia;2008;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Juquia;2008;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Juquia;2008;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Juquia;2008;8;3.511143711165979;2.8440264060444433;4.2835953276224945;4.318706764734154;3.1249179029377214;3.3004750884960203;1.8960176040296288
Juquia;2008;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Juquia;2009;1;5.638037487053477;4.566810364513317;6.878405734205242;6.934786109075777;5.017853363477595;5.299755237830269;3.044540243008878
Juquia;2009;10;5.278377658645114;4.275485903502543;6.43962074354704;6.492404520133491;4.697756116194152;4.961674999126407;2.850323935668362
Juquia;2009;11;6.2927000237223805;5.097087019215128;7.677094028941304;7.740021029178528;5.600503021112918;5.915138022299037;3.3980580128100857
Juquia;2009;12;6.120506213729705;4.957610033121061;7.46701758075024;7.5282226428875365;5.447250530219438;5.753275840905922;3.305073355414041
Juquia;2009;2;5.796035943105092;4.6947891139151245;7.071163850588212;7.129124210019262;5.158471989363532;5.448273786518786;3.1298594092767495
Juquia;2009;3;5.3528564011051225;4.335813684895149;6.530484809348249;6.5840133733593005;4.764042196983559;5.031685017038815;2.8905424565967666
Juquia;2009;4;4.366281658406092;3.5366881433089348;5.3268636232554325;5.370526439839494;3.885990675981422;4.104304758901726;2.35779209553929
Juquia;2009;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Juquia;2009;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Juquia;2009;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Juquia;2009;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Juquia;2009;9;4.312361112276294;3.4930125009437987;5.261080556977078;5.304204168099842;3.838001389925902;4.0536194455397165;2.328675000629199
Juquia;2010;1;5.795493755156518;4.69434994167678;7.070502381290952;7.128457318842517;5.157989442089301;5.447764129847127;3.12956662778452
Juquia;2010;10;7.130276492698761;5.775523959085997;8.698937321092489;8.770240086019475;6.345946078501898;6.702459903136835;3.8503493060573315
Juquia;2010;11;8.526594235042548;6.9065413303844645;10.402444966751908;10.487710909102335;7.5886688691878685;8.014998580939995;4.604360886922977
Juquia;2010;12;9.031964737094105;7.315891437046226;11.018996979254808;11.109316626625748;8.038448616013754;8.490046852868458;4.877260958030817
Juquia;2010;2;8.13175039838231;6.586717822689672;9.920735486026418;10.002052990010242;7.237257854560257;7.643845374479372;4.391145215126448
Juquia;2010;3;6.752680901506168;5.469671530219997;8.238270699837525;8.305797508852587;6.009886002340489;6.347520047415798;3.646447686813331
Juquia;2010;4;5.527574358353865;4.477335230266631;6.743640717191716;6.798916460775255;4.91954117893494;5.195919896852633;2.9848901535110874
Juquia;2010;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Juquia;2010;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Juquia;2010;7;2.9502845492925793;2.3897304849269894;3.5993471501369467;3.6288499956298725;2.625753248870396;2.7732674763350245;1.593153656617993
Juquia;2010;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Juquia;2010;9;6.406648860489808;5.189385576996745;7.816111609797566;7.880178098402464;5.70191748583593;6.022249928860419;3.4595903846644966
Juquia;2011;1;9.219237726536385;7.467582558494472;11.247470026374389;11.339662403639753;8.205121576617382;8.6660834629442;4.978388372329648
Juquia;2011;10;5.3968972166500455;4.371486745486537;6.584214604313055;6.638183576479556;4.803238522818541;5.073083383651042;2.914324496991025
Juquia;2011;11;6.372358243452695;5.161610177196683;7.774277057012287;7.838000639446815;5.671398836672898;5.990016748845533;3.4410734514644554
Juquia;2011;12;6.972142800809992;5.647435668656094;8.506014216988191;8.575735644996291;6.205207092720893;6.553814232761392;3.764957112437396
Juquia;2011;2;8.309520476269302;6.730711585778136;10.137614981048548;10.220710185811242;7.395473223879679;7.810949247693143;4.487141057185424
Juquia;2011;3;6.7078640356673835;5.433369868890581;8.183594123514208;8.250672763870881;5.969998991743972;6.30539219352734;3.6222465792603873
Juquia;2011;4;5.452241230315109;4.416315396555238;6.651734300984433;6.706256713287584;4.8524946949804475;5.125106756496202;2.944210264370159
Juquia;2011;5;3.156350075756822;2.556643561363026;3.8507470924233225;3.882310593180891;2.8091515674235716;2.9669690712114125;1.704429040908684
Juquia;2011;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Juquia;2011;7;3.2308818715885548;2.6170143159867294;3.9416758833380365;3.9739847020539223;2.8754848657138137;3.037028959293241;1.7446762106578197
Juquia;2011;8;4.265116897640163;3.454744687088532;5.2034426151209985;5.2460937840974005;3.7959540388997453;4.009209883781753;2.303163124725688
Juquia;2011;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Juquia;2012;1;6.203421129220832;5.024771114668874;7.568173777649415;7.630207988941623;5.52104480500654;5.831215861467582;3.349847409779249
Juquia;2012;10;5.797722245138069;4.696155018561837;7.073221139068444;7.131198361519825;5.159972798172881;5.449858910429785;3.1307700123745574
Juquia;2012;11;5.468072321508516;4.429138580421898;6.6710482322403895;6.725728955455475;4.866584366142579;5.139987982218005;2.952759053614599
Juquia;2012;12;6.308919847849654;5.11022507675822;7.696882214376577;7.759971412855074;5.614938664586192;5.930384656978674;3.4068167178388133
Juquia;2012;2;6.528812604349023;5.288338209522709;7.965151377305808;8.030439503349298;5.810643217870631;6.137083848088081;3.5255588063484726
Juquia;2012;3;5.403208367334659;4.376598777541074;6.5919142081482835;6.64594629182163;4.808855446927846;5.079015865294579;2.917732518360716
Juquia;2012;4;3.8685412353741415;3.1335184006530548;4.719620307156452;4.758305719510194;3.443001699482986;3.636428761251693;2.0890122671020364
Juquia;2012;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Juquia;2012;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Juquia;2012;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Juquia;2012;8;3.973265115826553;3.218344743819508;4.847383441308394;4.88711609246666;3.536205953085632;3.7348692088769595;2.1455631625463387
Juquia;2012;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Juquia;2013;1;5.905333975910915;4.783320520487842;7.204507450611317;7.263560790370426;5.255747238560715;5.55101393735626;3.1888803469918945
Juquia;2013;10;5.395855337150155;4.370642823091626;6.582943511323189;6.636902064694691;4.802311250063638;5.072104016921146;2.9137618820610838
