city;yr;mo;da;latitude;prcp_dia;tmax;tmin;med_temp
Barra do Turvo;2009;4;15;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;4;16;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;4;17;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;4;18;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;4;19;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;4;2;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;4;20;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;4;21;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;4;22;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;4;23;24;0.0;0.0;0.0;0.0
